序號,社福團體名稱,愛心碼,社福團體簡稱,社福團體統編,縣市
894,社團法人臺中市橋烽關懷生命協會,70999,臺中市橋烽,38998068,臺中市
895,社團法人臺灣畫話協會,3939,畫話協會,39696702,臺中市
896,財團法人全成社會福利基金會,333058,福田家園,30162446,金門縣
897,台灣無障礙協會,1100,,92074984,高雄市
898,財團法人勵馨社會福利事業基金會,9118595,,00968923,新北市
899,財團法人新竹縣天主教世光教養院,9955116,,02809280,新竹縣
900,財團法人嘉義縣私立天主教敏道社會福利慈善事業基金會,5968,,25836338,嘉義縣
901,財團法人若竹兒教育基金會,064063,,13278041,嘉義縣
902,財團法人天使心家族社會福利基金會,336,天使心家族,48837231,臺北市
903,財團法人台灣兒童暨家庭扶助基金會,7885,台中發展,17721306,臺中市
904,財團法人台灣兒童暨家庭扶助基金會附設南投縣私立家扶希望學園,8700,,25335974,南投縣
905,社團法人中華基督教救助協會,51919,救助協會,83867936,新北市
906,財團法人台灣兒童暨家庭扶助基金會台南市北區分事務所,2085,北台南家扶,72196828,臺南市
907,財團法人台灣肯納自閉症基金會,1018,肯納園,29249705,臺北市
908,自閉症肯納家長協會,5201314,肯納烘焙坊,45734823,彰化縣
909,財團法人天主教會花蓮教區附設花蓮縣私立聲遠老人養護之家,855,聲遠之家,95943120,花蓮縣
910,佛教觀音線協會,51688,觀音線,77129594,臺北市
911,台灣兒童伊比力斯協會,168168,伊比力斯,73992787,臺北市
912,社團法人臺北市照顧生命協會,3658,北市照生會,25687891,臺北市
913,社團法人雲林縣婦女保護會,5372676,婦保會,19298017,雲林縣
